57317,SD
33247,FL
79062,TX
28704,NC
44902,OH
78593,TX
26040,WV
49058,MI
03748,NH
53406,WI
68355,NE
25070,WV
80543,CO
56594,MN
17375,PA
54626,WI
54445,WI
28092,NC
20897,MD
15069,PA
30103,GA
61235,IL
58239,ND
56035,MN
44035,OH
65567,MO
41313,KY
83865,ID
68055,NE
95625,CA
46626,IN
33526,FL
44730,OH
24430,VA
89006,NV
99833,AK
26105,WV
22018,VA
61016,IL
62878,IL
35440,AL
10528,NY
61234,IL
53816,WI
55374,MN
28554,NC
55938,MN
66549,KS
73169,OK
22402,VA
79697,TX
96823,HI
37663,TN
80222,CO
94279,CA
26680,WV
67058,KS
27130,NC
91210,CA
25405,WV
63829,MO
24844,WV
52216,IA
10953,NY
16114,PA
32856,FL
19934,DE
53525,WI
80024,CO
78208,TX
34620,FL
31735,GA
20106,VA
18088,PA
27313,NC
12944,NY
94259,CA
75009,TX
50577,IA
24134,VA
01701,MA
49625,MI
92804,CA
83705,ID
37354,TN
08618,NJ
66776,KS
56293,MN
67353,KS
61101,IL
97338,OR
30244,GA
50006,IA
65262,MO
53708,WI
95564,CA
02839,RI
33065,FL
12407,NY
74368,OK
99654,AK
32322,FL
96158,CA
82717,WY
44704,OH
54851,WI
36078,AL
61344,IL
24316,VA
40055,KY
52567,IA
79054,TX
62063,IL
05827,VT
70010,LA
64867,MO
20118,VA
67556,KS
97075,OR
51523,IA
92110,CA
94287,CA
43553,OH
20788,MD
58365,ND
96740,HI
55701,MN
72040,AR
36193,AL
79170,TX
03605,NH
37645,TN
48157,MI
68719,NE
13113,NY
47405,IN
74159,OK
88441,NM
31054,GA
40380,KY
29626,SC
20422,DC
72046,AR
22310,VA
96793,HI
43029,OH
93639,CA
50021,IA
34630,FL
47830,IN
54487,WI
93449,CA
72905,AR
24563,VA
80275,CO
05731,VT
29707,SC
72068,AR
15618,PA
22234,VA
65466,MO
46536,IN
85636,AZ
94912,CA
88009,NM
55102,MN
47928,IN
77099,TX
94945,CA
37019,TN
78202,TX
14857,NY
27310,NC
70611,LA
63121,MO
45246,OH
49101,MI
32899,FL
34979,FL
96096,CA
99672,AK
49705,MI
87042,NM
48381,MI
06076,CT
41858,KY
33734,FL
75224,TX
29940,SC
96943,FM
82931,WY
33134,FL
35677,AL
20546,DC
62001,IL
33035,FL
40840,KY
49048,MI
02892,RI
31777,GA
68865,NE
19966,DE
76265,TX
92190,CA
85941,AZ
63839,MO
48182,MI
61701,IL
35966,AL
68745,NE
02360,MA
59604,MT
99258,WA
56258,MN
33072,FL
12819,NY
37919,TN
68380,NE
14061,NY
07306,NJ
27259,NC
32238,FL
50515,IA
63730,MO
57030,SD
56760,MN
70438,LA
54805,WI
25958,WV
82063,WY
49041,MI
17127,PA
18910,PA
41771,KY
87010,NM
33937,FL
16666,PA
56069,MN
78526,TX
93630,CA
36764,AL
37998,TN
47330,IN
30376,GA
29419,SC
57737,SD
78801,TX
76446,TX
36911,AL
95451,CA
04949,ME
58481,ND
12089,NY
13825,NY
84740,UT
04659,ME
82001,WY
53813,WI
30294,GA
98038,WA
21136,MD
68331,NE
50568,IA
91914,CA
35988,AL
77428,TX
10303,NY
45871,OH
77091,TX
25262,WV
95605,CA
33905,FL
92322,CA
98074,WA
56327,MN
76004,TX
02474,MA
25823,WV
02170,MA
66603,KS
